cohort_month,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11
Jan 2024,100.0,25.1,30.6,34.4,35.4,36.5,36.3,37.0,33.2,31.5,34.5,33.6
Feb 2024,100.0,22.7,26.2,29.0,28.5,32.0,27.5,26.1,25.9,28.2,28.5,
Mar 2024,100.0,21.1,23.4,26.9,26.9,26.3,22.5,21.8,26.5,24.5,,
Apr 2024,100.0,21.4,22.4,21.8,20.9,22.3,20.0,21.4,23.1,,,
May 2024,100.0,21.3,20.8,21.3,17.3,16.3,18.3,20.9,,,,
Jun 2024,100.0,19.1,18.4,15.5,14.5,19.1,16.7,,,,,
Jul 2024,100.0,21.4,15.5,16.6,16.6,15.9,,,,,,
Aug 2024,100.0,16.2,15.4,17.0,16.2,,,,,,,
Sep 2024,100.0,15.1,14.3,15.1,,,,,,,,
Oct 2024,100.0,17.9,12.8,,,,,,,,,
Nov 2024,100.0,14.4,,,,,,,,,,
Dec 2024,100.0,,,,,,,,,,,
