ds,y
2024-01-01,17359.75
2024-01-02,20332.334539234453
2024-01-03,24695.87356395096
2024-01-04,15998.127378747837
2024-01-05,17384.69
2024-01-06,21682.680180728254
2024-01-07,17822.50176975705
2024-01-08,15249.07
2024-01-09,16379.62
2024-01-10,18129.502511612274
2024-01-11,12585.17
2024-01-12,20076.526304062914
2024-01-13,17604.76
2024-01-14,16754.8280098819
2024-01-15,19741.663712301055
2024-01-16,16684.260000000002
2024-01-17,13745.4
2024-01-18,26824.77701901516
2024-01-19,13486.35
2024-01-20,17294.35
2024-01-21,33833.73007129596
2024-01-22,15756.48
2024-01-23,18044.01
2024-01-24,16542.88
2024-01-25,17031.46908474272
2024-01-26,14185.15
2024-01-27,16751.2
2024-01-28,16085.1928589187
2024-01-29,17608.58
2024-01-30,13620.539999999999
2024-01-31,18189.56
2024-02-01,12987.02
2024-02-02,15747.6
2024-02-03,18869.32
2024-02-04,21752.581224122707
2024-02-05,12508.86
2024-02-06,16358.45
2024-02-07,29584.67936706744
2024-02-08,19318.71
2024-02-09,13077.43
2024-02-10,20411.29
2024-02-11,20253.926487840028
2024-02-12,21149.149936035945
2024-02-13,21899.70318967471
2024-02-14,19697.29386288859
2024-02-15,16777.03
2024-02-16,22864.59957658652
2024-02-17,18818.22
2024-02-18,20528.23
2024-02-19,16381.72
2024-02-20,20648.74
2024-02-21,21067.09
2024-02-22,13755.53
2024-02-23,20549.74
2024-02-24,24245.80896275279
2024-02-25,23129.218924049543
2024-02-26,16636.62
2024-02-27,17764.7
2024-02-28,24051.68
2024-02-29,27703.536043026772
2024-03-01,20854.26
2024-03-02,33521.96805714216
2024-03-03,17196.54
2024-03-04,14096.157347367554
2024-03-05,23465.268145168873
2024-03-06,29410.89
2024-03-07,25009.302534983857
2024-03-08,22765.39
2024-03-09,22438.51862552559
2024-03-10,21246.670000000002
2024-03-11,20634.83
2024-03-12,17803.24
2024-03-13,17792.86
2024-03-14,21944.784234909333
2024-03-15,25671.239999999998
2024-03-16,23807.326811972962
2024-03-17,18585.617826436846
2024-03-18,23991.54
2024-03-19,26177.066101192067
2024-03-20,21562.62
2024-03-21,26901.773252718263
2024-03-22,21497.459455322158
2024-03-23,29474.486863017493
2024-03-24,20828.93
2024-03-25,28009.82
2024-03-26,20907.92
2024-03-27,26397.22792131653
2024-03-28,24352.69
2024-03-29,25127.23307597676
2024-03-30,23045.238946373902
2024-03-31,18603.04
2024-04-01,23112.67833420662
2024-04-02,23308.105341877337
2024-04-03,20352.44
2024-04-04,28030.64
2024-04-05,24521.62426393362
2024-04-06,29151.31
2024-04-07,18268.2
2024-04-08,23969.42
2024-04-09,26952.926643106726
2024-04-10,23019.0
2024-04-11,21340.78433172071
2024-04-12,29237.35401750835
2024-04-13,21774.64
2024-04-14,27668.69
2024-04-15,38909.70595565163
2024-04-16,24787.986572767546
2024-04-17,21224.27
2024-04-18,27462.913693828137
2024-04-19,27413.86
2024-04-20,34063.74267751537
2024-04-21,23724.49
2024-04-22,34809.36963320168
2024-04-23,26513.822876794082
2024-04-24,21513.2
2024-04-25,29788.470426478565
2024-04-26,27641.29
2024-04-27,33906.02865641732
2024-04-28,25517.83
2024-04-29,30590.87
2024-04-30,27809.818514357397
2024-05-01,23196.12
2024-05-02,28067.920000000002
2024-05-03,28725.048102828805
2024-05-04,27186.16
2024-05-05,31905.552608823407
2024-05-06,28437.135702897373
2024-05-07,32985.10973879861
2024-05-08,23156.99
2024-05-09,23818.91
2024-05-10,27292.24245062891
2024-05-11,29934.507697114124
2024-05-12,31853.05
2024-05-13,32019.974295977725
2024-05-14,22691.06
2024-05-15,27707.82970938907
2024-05-16,22669.61
2024-05-17,39748.6496548922
2024-05-18,35855.705662455206
2024-05-19,29765.79
2024-05-20,34213.87901762756
2024-05-21,22082.12
2024-05-22,26739.942046481516
2024-05-23,29448.7
2024-05-24,35687.58546838982
2024-05-25,26283.92
2024-05-26,38538.54746640437
2024-05-27,30638.74404300499
2024-05-28,25781.742306312848
2024-05-29,25108.71
2024-05-30,27096.3
2024-05-31,27326.817025397882
2024-06-01,27845.1
2024-06-02,25342.171738200785
2024-06-03,32077.77
2024-06-04,25633.5
2024-06-05,23876.66
2024-06-06,26108.69
2024-06-07,29493.382007254262
2024-06-08,26450.12742856853
2024-06-09,44382.865626404106
2024-06-10,34475.75601597731
2024-06-11,25804.51
2024-06-12,33846.32
2024-06-13,32816.3469303252
2024-06-14,32648.75917759944
2024-06-15,32568.85
2024-06-16,42426.33974455505
2024-06-17,29946.873858290484
2024-06-18,30292.04612173268
2024-06-19,34181.61
2024-06-20,30689.53
2024-06-21,29920.84
2024-06-22,27619.22
2024-06-23,36912.291352035405
2024-06-24,27018.77
2024-06-25,25766.84
2024-06-26,28710.04
2024-06-27,33809.52062003682
2024-06-28,33174.83
2024-06-29,29520.813780416753
2024-06-30,34534.26643049838
2024-07-01,28606.97
2024-07-02,26805.77
2024-07-03,33148.55120430888
2024-07-04,40189.3100854788
2024-07-05,35061.76719932676
2024-07-06,33347.69
2024-07-07,25912.41
2024-07-08,36706.84318158868
2024-07-09,30479.35
2024-07-10,38961.445929447545
2024-07-11,29694.918878643508
2024-07-12,38450.70664961101
2024-07-13,33529.28
2024-07-14,36094.61847341843
2024-07-15,45579.17884285066
2024-07-16,28254.23
2024-07-17,30285.36181880823
2024-07-18,30117.71
2024-07-19,31245.910532719747
2024-07-20,49359.06130230717
2024-07-21,29310.62
2024-07-22,31283.163958936642
2024-07-23,30706.79
2024-07-24,32776.20738450977
2024-07-25,26633.51
2024-07-26,31539.292893147158
2024-07-27,29845.23
2024-07-28,27542.484310808555
2024-07-29,29751.84
2024-07-30,22203.89
2024-07-31,24669.46
2024-08-01,30991.062252608288
2024-08-02,24835.45
2024-08-03,24823.74036830235
2024-08-04,29135.920000000002
2024-08-05,24458.91
2024-08-06,30677.93
2024-08-07,29638.32
2024-08-08,27783.84
2024-08-09,31525.21
2024-08-10,31170.997728510873
2024-08-11,32855.97
2024-08-12,36236.3967206285
2024-08-13,27978.46
2024-08-14,31631.49
2024-08-15,28575.14
2024-08-16,28288.621324209253
2024-08-17,31501.32
2024-08-18,25996.78
2024-08-19,35638.58221796727
2024-08-20,30892.69185224275
2024-08-21,27207.98431638617
2024-08-22,25276.56
2024-08-23,33664.05
2024-08-24,27560.08
2024-08-25,45582.218898223844
2024-08-26,23585.72
2024-08-27,24359.472337479794
2024-08-28,24915.87
2024-08-29,34060.90415609478
2024-08-30,27885.81
2024-08-31,27740.421749823337
2024-09-01,25695.619030250804
2024-09-02,26935.64
2024-09-03,28106.165172815072
2024-09-04,31187.508905167044
2024-09-05,26656.78
2024-09-06,27341.59
2024-09-07,25159.190341001427
2024-09-08,26702.117935008846
2024-09-09,25445.659363912546
2024-09-10,26532.088688668235
2024-09-11,31398.2517248761
2024-09-12,21654.86
2024-09-13,27636.050443931916
2024-09-14,27123.02
2024-09-15,28099.3
2024-09-16,29128.0
2024-09-17,21915.34
2024-09-18,28395.78
2024-09-19,29593.27767359721
2024-09-20,26604.68
2024-09-21,26652.21041359975
2024-09-22,30547.797079297176
2024-09-23,26622.23
2024-09-24,30854.116557656784
2024-09-25,20267.85
2024-09-26,21628.59
2024-09-27,24095.485952679806
2024-09-28,26527.02
2024-09-29,25213.639075095845
2024-09-30,28659.73418366351
2024-10-01,26311.71
2024-10-02,23409.4
2024-10-03,19235.67
2024-10-04,22082.6627141644
2024-10-05,22925.81
2024-10-06,23096.9
2024-10-07,23622.58
2024-10-08,31611.875856240105
2024-10-09,22441.3
2024-10-10,16747.101797804728
2024-10-11,19033.82
2024-10-12,25796.01780645413
2024-10-13,20800.65
2024-10-14,32982.32946758419
2024-10-15,27764.36
2024-10-16,21569.18
2024-10-17,25200.275857855915
2024-10-18,20808.52
2024-10-19,20283.645623484277
2024-10-20,30849.479097868832
2024-10-21,24818.66
2024-10-22,19461.22
2024-10-23,20715.670000000002
2024-10-24,25287.5
2024-10-25,22805.27293779024
2024-10-26,29045.717901248154
2024-10-27,20533.099036365056
2024-10-28,30987.46651719844
2024-10-29,26379.61
2024-10-30,28436.58
2024-10-31,29347.04
2024-11-01,26848.05
2024-11-02,27669.16
2024-11-03,34090.011083800586
2024-11-04,27519.97
2024-11-05,28333.579999999998
2024-11-06,36622.164591926754
2024-11-07,28812.634751827056
2024-11-08,30710.84
2024-11-09,39784.076201413634
2024-11-10,36539.831974126
2024-11-11,24975.996292718282
2024-11-12,27618.395752600944
2024-11-13,28911.07
2024-11-14,27942.7
2024-11-15,30269.317641335667
2024-11-16,28490.61
2024-11-17,26526.71
2024-11-18,36895.94502790309
2024-11-19,29866.59297276655
2024-11-20,31144.971093195054
2024-11-21,23045.35
2024-11-22,30063.48
2024-11-23,32615.849230580938
2024-11-24,32670.292994940275
2024-11-25,32257.66
2024-11-26,21413.44
2024-11-27,32911.86081558998
2024-11-28,19804.14
2024-11-29,37898.25995781021
2024-11-30,25454.87
2024-12-01,27592.63145709368
2024-12-02,27365.783541137054
2024-12-03,26293.82
2024-12-04,26127.99
2024-12-05,29805.807468965468
2024-12-06,33577.144130708744
2024-12-07,25232.22
2024-12-08,22302.7601064026
2024-12-09,34658.58
2024-12-10,26523.26947775877
2024-12-11,28265.951186292335
2024-12-12,32035.59645000907
2024-12-13,30109.84
2024-12-14,27726.09
2024-12-15,29275.978950272944
2024-12-16,26120.84108714417
2024-12-17,33731.99988013317
2024-12-18,30889.73
2024-12-19,30939.591914309694
2024-12-20,31583.11647724668
2024-12-21,25276.53
2024-12-22,26048.489999999998
2024-12-23,29166.309034519443
2024-12-24,29197.64525264343
2024-12-25,21496.79
2024-12-26,25268.18
2024-12-27,23871.18717142648
2024-12-28,29630.601323614526
2024-12-29,28741.97
2024-12-30,25792.91
2024-12-31,32695.92956141266
