month,yhat,yhat_lower,yhat_upper,month_str
2024-01,510668.31985657086,469814.8542680452,551521.7854450966,Jan 2024
2024-02,537377.9182311029,494387.6847726146,580368.1516895911,Feb 2024
2024-03,694152.3311571421,638620.1446645708,749684.5176497136,Mar 2024
2024-04,757375.2162124825,696785.198915484,817965.2335094812,Apr 2024
2024-05,889811.4915496425,818626.5722256711,960996.4108736139,May 2024
2024-06,907368.5897637857,834779.102582683,979958.0769448887,Jun 2024
2024-07,1013974.2647953583,932856.3236117297,1095092.205978987,Jul 2024
2024-08,917042.4458118076,843679.0501468631,990405.8414767523,Aug 2024
2024-09,827641.6849546761,761430.350158302,893853.0197510503,Sep 2024
2024-10,757188.0460807114,696613.0023942546,817763.0897671684,Oct 2024
2024-11,871013.4690868777,801332.3915599275,940694.5466138279,Nov 2024
2024-12,886731.3008581678,815792.7967895144,957669.8049268213,Dec 2024
2025-01,868465.1960910502,569257.2411729239,1167673.1510091764,Jan 2025
2025-02,784713.2375724122,468784.3831161547,1100642.0920286698,Feb 2025
2025-03,868789.465245985,474983.8258921437,1262595.1045998263,Mar 2025
