month,gross,orders,net,month_str,gross_k,net_k
2024-01,557481.0270042493,2651,445984.82,Jan,557.5,446.0
2024-02,568538.4775740451,2743,454830.78,Feb,568.5,454.8
2024-03,713121.9091994243,3447,570497.53,Mar,713.1,570.5
2024-04,796385.4819393652,3901,637108.39,Apr,796.4,637.1
2024-05,895964.3729974244,4413,716771.5,May,896.0,716.8
2024-06,927894.6408318952,4568,742315.71,Jun,927.9,742.3
2024-07,998093.5726459116,4820,798474.86,Jul,998.1,798.5
2024-08,916475.9239224772,4566,733180.74,Aug,916.5,733.2
2024-09,802379.5925412221,3945,641903.67,Sep,802.4,641.9
2024-10,754391.1246140584,3729,603512.9,Oct,754.4,603.5
2024-11,897707.830382535,4291,718166.26,Nov,897.7,718.2
2024-12,877345.2844710909,4157,701876.23,Dec,877.3,701.9
