user_id,recency,frequency,monetary,segment,color
1,60,1,186.24,At-Risk,#BA7517
2,230,3,356.75,New Customers,#7F77DD
3,6,5,774.1800000000001,At-Risk,#BA7517
6,106,2,222.82,At-Risk,#BA7517
7,75,3,441.29,At-Risk,#BA7517
8,58,4,497.20000000000005,At-Risk,#BA7517
11,255,1,46.49,New Customers,#7F77DD
12,219,1,68.12,New Customers,#7F77DD
14,156,3,662.6,New Customers,#7F77DD
15,43,5,1229.01,At-Risk,#BA7517
16,247,1,270.34,New Customers,#7F77DD
17,286,1,233.32,New Customers,#7F77DD
18,232,2,612.51,New Customers,#7F77DD
19,117,1,69.88,At-Risk,#BA7517
20,102,2,439.14,At-Risk,#BA7517
21,139,3,680.3,New Customers,#7F77DD
22,245,1,117.56,New Customers,#7F77DD
23,44,10,1940.74,At-Risk,#BA7517
24,189,3,867.1700000000001,New Customers,#7F77DD
25,38,21,4838.42,At-Risk,#BA7517
26,274,1,181.14,New Customers,#7F77DD
27,4,4,941.02,At-Risk,#BA7517
29,85,4,854.3,At-Risk,#BA7517
30,11,4,1050.4299999999998,At-Risk,#BA7517
31,139,2,178.94,New Customers,#7F77DD
32,166,1,163.11,New Customers,#7F77DD
33,342,2,462.49,New Customers,#7F77DD
34,25,3,1036.6,At-Risk,#BA7517
35,154,2,313.54,New Customers,#7F77DD
36,172,2,664.5799999999999,New Customers,#7F77DD
37,44,1,175.0,At-Risk,#BA7517
39,108,1,373.9,At-Risk,#BA7517
40,17,5,914.9100000000001,At-Risk,#BA7517
41,143,2,693.7,New Customers,#7F77DD
42,25,3,286.55,At-Risk,#BA7517
43,137,2,432.84000000000003,New Customers,#7F77DD
45,148,2,300.09000000000003,New Customers,#7F77DD
46,125,3,334.94,At-Risk,#BA7517
47,65,1,240.0,At-Risk,#BA7517
48,53,3,330.53000000000003,At-Risk,#BA7517
49,30,6,762.5699999999999,At-Risk,#BA7517
50,20,2,902.97,At-Risk,#BA7517
51,344,1,374.4,New Customers,#7F77DD
52,33,2,122.26,At-Risk,#BA7517
53,175,2,509.74,New Customers,#7F77DD
56,33,2,105.22,At-Risk,#BA7517
57,25,1,114.66,At-Risk,#BA7517
58,27,8,1296.58,At-Risk,#BA7517
59,64,4,451.51,At-Risk,#BA7517
60,138,3,426.81,New Customers,#7F77DD
61,48,2,332.37,At-Risk,#BA7517
62,40,13,2173.84,At-Risk,#BA7517
64,70,4,655.8,At-Risk,#BA7517
65,308,1,80.65,New Customers,#7F77DD
66,84,2,296.53999999999996,At-Risk,#BA7517
67,129,3,362.02,At-Risk,#BA7517
68,107,2,1141.5400000000002,At-Risk,#BA7517
69,169,3,1087.59,New Customers,#7F77DD
70,37,5,966.59,At-Risk,#BA7517
71,151,1,117.47,New Customers,#7F77DD
72,25,1,42.24,At-Risk,#BA7517
73,18,1,240.7,At-Risk,#BA7517
74,146,4,542.37,New Customers,#7F77DD
